Product,Has account number,open date,current balance,Maturity date,Interest rate,Maturity amount,Bank Name,branch name,Loan number,Loan Amount,Loan Term (years),Loan Interest,Current outstanding Loan amount,Last payment amount,Last payment date,Card number,Current Balance,Credit Limit,Card type,Last Payment Made,Business Name,Business Category Type,Business Account Number,number of employees,business address,year of business registration,financial_year,income,expense,profit,ProductID
Small Business Account,,,,,,,,,,,,,,,,,,,,,Thompson Inc,Construction,BUS98895100,155.0,"3684 Main St, Indianapolis, CA",1990.0,2024.0,903750.17,778211.14,125539.03,PROD00161
Checking Account,CHK0171153076,2021-02-21,1515.48,,0.0091,,Citadel Bank,Westside,,,,,,,,,,,,,,,,,,,,,,,PROD00162
Savings Account,SAV7961969725,2008-12-07,18919.21,,0.037,,Liberty Bank,Eastside,,,,,,,,,,,,,,,,,,,,,,,PROD00163
Savings Account,SAV9939906992,2017-09-07,5205.51,,0.0253,,Liberty Bank,Downtown,,,,,,,,,,,,,,,,,,,,,,,PROD00164
Checking Account,CHK9180768422,2009-07-09,5257.22,,0.0236,,United Trust Bank,Westside,,,,,,,,,,,,,,,,,,,,,,,PROD00165
Checking Account,CHK9843514866,2011-08-25,6769.31,,0.024,,Liberty Bank,Eastside,,,,,,,,,,,,,,,,,,,,,,,PROD00166
Credit Card,,,,,,,,,,,,,,,,3901375805640918.0,2356.56,2000.0,Mastercard,2020-03-23,,,,,,,,,,,PROD00167
Small Business Account,,,,,,,,,,,,,,,,,,,,,Clark Co,Dentist,BUS20354000,211.0,"9933 Walnut St, San Antonio, TX",1991.0,2022.0,1050625.85,827037.75,223588.1,PROD00168
Small Business Account,,,,,,,,,,,,,,,,,,,,,Clark Co,Dentist,BUS20354000,211.0,"9933 Walnut St, San Antonio, TX",1991.0,2023.0,4885747.33,3484059.61,1401687.72,PROD00169
Small Business Account,,,,,,,,,,,,,,,,,,,,,Clark Co,Dentist,BUS20354000,211.0,"9933 Walnut St, San Antonio, TX",1991.0,2024.0,595234.44,507850.73,87383.71,PROD00170
Home Loan Account,,,,,,,,,LN518342422076,131421.95,25.0,0.0604,54406.93,3830.99,2020-07-20,,,,,,,,,,,,,,,,PROD00171
Certificate Of Deposit,CD9522380555,2018-09-07,96597.14,2023-09-06,0.0428,119115.8,Community Savings,Downtown,,,,,,,,,,,,,,,,,,,,,,,PROD00172
Savings Account,SAV1006281537,2023-02-09,3350.6,,0.02,,United Trust Bank,South Branch,,,,,,,,,,,,,,,,,,,,,,,PROD00173
Checking Account,CHK3248765441,2021-03-09,8740.16,,0.0289,,Pioneer Bank,Central,,,,,,,,,,,,,,,,,,,,,,,PROD00174
Credit Card,,,,,,,,,,,,,,,,7888265414664386.0,739.36,7500.0,Mastercard,2021-02-17,,,,,,,,,,,PROD00175
Small Business Account,,,,,,,,,,,,,,,,,,,,,Perez Co,Dentist,BUS24608194,212.0,"5357 Sunset Blvd, Detroit, OH",1995.0,2022.0,955919.74,568892.43,387027.31,PROD00176
Small Business Account,,,,,,,,,,,,,,,,,,,,,Perez Co,Dentist,BUS24608194,212.0,"5357 Sunset Blvd, Detroit, OH",1995.0,2023.0,4123367.78,3436518.45,686849.33,PROD00177
Small Business Account,,,,,,,,,,,,,,,,,,,,,Perez Co,Dentist,BUS24608194,212.0,"5357 Sunset Blvd, Detroit, OH",1995.0,2024.0,3802276.61,3384919.86,417356.75,PROD00178
Certificate Of Deposit,CD4755182000,2021-07-23,7496.08,2023-07-23,0.044,8170.25,Citadel Bank,Downtown,,,,,,,,,,,,,,,,,,,,,,,PROD00179
Savings Account,SAV8561035185,2012-11-05,17212.45,,0.042,,MetroBank,Westside,,,,,,,,,,,,,,,,,,,,,,,PROD00180
Home Loan Account,,,,,,,,,LN008722226589,698089.74,30.0,0.0656,451923.44,3085.48,2018-02-04,,,,,,,,,,,,,,,,PROD00181
Small Business Account,,,,,,,,,,,,,,,,,,,,,Rivera Co,Restaurant,BUS88423565,2.0,"8480 Chestnut St, Seattle, MA",2008.0,2022.0,1506410.11,826487.45,679922.66,PROD00182
Small Business Account,,,,,,,,,,,,,,,,,,,,,Rivera Co,Restaurant,BUS88423565,2.0,"8480 Chestnut St, Seattle, MA",2008.0,2023.0,337908.53,319243.29,18665.24,PROD00183
Small Business Account,,,,,,,,,,,,,,,,,,,,,Rivera Co,Restaurant,BUS88423565,2.0,"8480 Chestnut St, Seattle, MA",2008.0,2024.0,3210161.83,2849568.27,360593.56,PROD00184
Home Loan Account,,,,,,,,,LN152088431042,911565.98,30.0,0.0394,32195.6,3598.73,2024-06-01,,,,,,,,,,,,,,,,PROD00185
Certificate Of Deposit,CD8101287163,2021-05-18,84696.51,2024-05-17,0.0512,98383.34,Liberty Bank,Westside,,,,,,,,,,,,,,,,,,,,,,,PROD00186
Savings Account,SAV3737322848,2018-02-02,29015.66,,0.0314,,First National Bank,Uptown,,,,,,,,,,,,,,,,,,,,,,,PROD00187
Credit Card,,,,,,,,,,,,,,,,1654819398918103.0,14799.61,5000.0,Visa,2025-08-11,,,,,,,,,,,PROD00188
Certificate Of Deposit,CD0664930130,2013-10-13,49468.13,2015-10-13,0.047,54227.41,United Trust Bank,South Branch,,,,,,,,,,,,,,,,,,,,,,,PROD00189
Small Business Account,,,,,,,,,,,,,,,,,,,,,Baker LLC,Pediatrician,BUS28315300,243.0,"4864 Center St, Detroit, IN",2023.0,2022.0,1702419.05,1531476.29,170942.76,PROD00190
Small Business Account,,,,,,,,,,,,,,,,,,,,,Baker LLC,Pediatrician,BUS28315300,243.0,"4864 Center St, Detroit, IN",2023.0,2023.0,4977452.6,3256397.71,1721054.89,PROD00191
Small Business Account,,,,,,,,,,,,,,,,,,,,,Baker LLC,Pediatrician,BUS28315300,243.0,"4864 Center St, Detroit, IN",2023.0,2024.0,4508891.21,2983366.03,1525525.18,PROD00192
Credit Card,,,,,,,,,,,,,,,,7175136082509660.0,10346.25,7500.0,Mastercard,2022-07-07,,,,,,,,,,,PROD00193
Small Business Account,,,,,,,,,,,,,,,,,,,,,Hall Inc,Pediatrician,BUS66366261,213.0,"1818 First St, Detroit, DC",1997.0,2022.0,1427879.71,1218184.19,209695.52,PROD00194
Small Business Account,,,,,,,,,,,,,,,,,,,,,Hall Inc,Pediatrician,BUS66366261,213.0,"1818 First St, Detroit, DC",1997.0,2023.0,2498740.53,1934152.14,564588.39,PROD00195
Small Business Account,,,,,,,,,,,,,,,,,,,,,Hall Inc,Pediatrician,BUS66366261,213.0,"1818 First St, Detroit, DC",1997.0,2024.0,3894235.4,3404241.16,489994.24,PROD00196
Certificate Of Deposit,CD6986105712,2014-08-29,33729.76,2019-08-28,0.0052,34615.9,Community Savings,Eastside,,,,,,,,,,,,,,,,,,,,,,,PROD00197
Credit Card,,,,,,,,,,,,,,,,2088836418801638.0,14326.34,5000.0,Visa,2023-04-27,,,,,,,,,,,PROD00198
Home Loan Account,,,,,,,,,LN314486448117,982490.71,20.0,0.0252,895271.83,2516.84,2024-05-19,,,,,,,,,,,,,,,,PROD00199
Checking Account,CHK1330689191,2017-03-23,6610.32,,0.0019,,Liberty Bank,Eastside,,,,,,,,,,,,,,,,,,,,,,,PROD00200
Small Business Account,,,,,,,,,,,,,,,,,,,,,Smith Inc,Retail,BUS56647466,39.0,"9247 Park Ave, Los Angeles, NY",2000.0,2022.0,2537726.51,1804780.39,732946.12,PROD00201
Small Business Account,,,,,,,,,,,,,,,,,,,,,Smith Inc,Retail,BUS56647466,39.0,"9247 Park Ave, Los Angeles, NY",2000.0,2023.0,2489257.96,1429908.79,1059349.17,PROD00202
Small Business Account,,,,,,,,,,,,,,,,,,,,,Smith Inc,Retail,BUS56647466,39.0,"9247 Park Ave, Los Angeles, NY",2000.0,2024.0,3762121.41,2423879.21,1338242.2,PROD00203
Certificate Of Deposit,CD4848414614,2014-12-30,40924.42,2019-12-29,0.0179,44720.65,First National Bank,Central,,,,,,,,,,,,,,,,,,,,,,,PROD00204
Checking Account,CHK9685643888,2015-06-12,8402.26,,0.0186,,Citadel Bank,Central,,,,,,,,,,,,,,,,,,,,,,,PROD00205
Home Loan Account,,,,,,,,,LN671723892570,205947.6,20.0,0.0611,152918.34,2164.21,2020-11-07,,,,,,,,,,,,,,,,PROD00206
Savings Account,SAV2813706618,2015-04-05,32922.83,,0.0479,,Citadel Bank,Eastside,,,,,,,,,,,,,,,,,,,,,,,PROD00207
Checking Account,CHK0754597961,2010-11-17,1553.31,,0.0197,,United Trust Bank,Eastside,,,,,,,,,,,,,,,,,,,,,,,PROD00208
Certificate Of Deposit,CD9414772787,2023-08-29,28085.99,2025-08-28,0.058,31438.45,Pioneer Bank,Eastside,,,,,,,,,,,,,,,,,,,,,,,PROD00209
Small Business Account,,,,,,,,,,,,,,,,,,,,,Wilson Inc,Pediatrician,BUS62369695,178.0,"5381 Pine St, Oklahoma City, FL",2020.0,2022.0,2922375.23,2700868.37,221506.86,PROD00210
Small Business Account,,,,,,,,,,,,,,,,,,,,,Wilson Inc,Pediatrician,BUS62369695,178.0,"5381 Pine St, Oklahoma City, FL",2020.0,2023.0,3556415.68,2857258.39,699157.29,PROD00211
Small Business Account,,,,,,,,,,,,,,,,,,,,,Wilson Inc,Pediatrician,BUS62369695,178.0,"5381 Pine St, Oklahoma City, FL",2020.0,2024.0,4471452.69,3310020.85,1161431.84,PROD00212
Credit Card,,,,,,,,,,,,,,,,6171228627081878.0,11136.19,10000.0,Mastercard,2020-08-05,,,,,,,,,,,PROD00213
Checking Account,CHK7726939935,2008-04-16,11155.05,,0.0061,,United Trust Bank,Central,,,,,,,,,,,,,,,,,,,,,,,PROD00214
Small Business Account,,,,,,,,,,,,,,,,,,,,,Lewis Inc,Retail,BUS75679216,48.0,"2947 First St, Houston, TX",1992.0,2022.0,2153968.92,1616487.72,537481.2,PROD00215
Small Business Account,,,,,,,,,,,,,,,,,,,,,Lewis Inc,Retail,BUS75679216,48.0,"2947 First St, Houston, TX",1992.0,2023.0,667731.32,509341.26,158390.06,PROD00216
Small Business Account,,,,,,,,,,,,,,,,,,,,,Lewis Inc,Retail,BUS75679216,48.0,"2947 First St, Houston, TX",1992.0,2024.0,1289980.42,836879.0,453101.42,PROD00217
Home Loan Account,,,,,,,,,LN095768375075,959138.33,15.0,0.0593,152858.35,2806.78,2022-07-11,,,,,,,,,,,,,,,,PROD00218
Savings Account,SAV3327598906,2014-12-30,12017.39,,0.0325,,United Trust Bank,North Branch,,,,,,,,,,,,,,,,,,,,,,,PROD00219
Savings Account,SAV3529838408,2009-04-27,16015.64,,0.005,,Citadel Bank,Downtown,,,,,,,,,,,,,,,,,,,,,,,PROD00220
Checking Account,CHK9756262682,2023-10-05,13179.56,,0.0222,,First National Bank,Uptown,,,,,,,,,,,,,,,,,,,,,,,PROD00221
Certificate Of Deposit,CD0012089444,2011-08-14,3351.54,2013-08-13,0.0444,3655.76,Pioneer Bank,North Branch,,,,,,,,,,,,,,,,,,,,,,,PROD00222
Home Loan Account,,,,,,,,,LN310707083526,626237.55,25.0,0.0583,274089.24,2096.54,2025-05-30,,,,,,,,,,,,,,,,PROD00223
Savings Account,SAV1375916977,2013-05-15,47869.58,,0.0015,,Community Savings,Uptown,,,,,,,,,,,,,,,,,,,,,,,PROD00224
Savings Account,SAV3502772981,2009-02-16,11039.4,,0.0419,,Community Savings,Central,,,,,,,,,,,,,,,,,,,,,,,PROD00225
Checking Account,CHK1788994520,2010-03-15,2961.26,,0.0174,,United Trust Bank,Downtown,,,,,,,,,,,,,,,,,,,,,,,PROD00226
Small Business Account,,,,,,,,,,,,,,,,,,,,,Rodriguez Inc,Landscape,BUS20143661,146.0,"6071 Riverside Dr, Columbus, PA",1990.0,2022.0,1579809.61,1348441.83,231367.78,PROD00227
Small Business Account,,,,,,,,,,,,,,,,,,,,,Rodriguez Inc,Landscape,BUS20143661,146.0,"6071 Riverside Dr, Columbus, PA",1990.0,2023.0,3566751.65,2811946.2,754805.45,PROD00228
Small Business Account,,,,,,,,,,,,,,,,,,,,,Rodriguez Inc,Landscape,BUS20143661,146.0,"6071 Riverside Dr, Columbus, PA",1990.0,2024.0,1397865.58,925063.69,472801.89,PROD00229
Credit Card,,,,,,,,,,,,,,,,8433516881528000.0,7607.67,2000.0,Mastercard,2023-09-20,,,,,,,,,,,PROD00230
Savings Account,SAV4732772453,2016-04-06,529.58,,0.0127,,Community Savings,Central,,,,,,,,,,,,,,,,,,,,,,,PROD00231
Checking Account,CHK6711558179,2008-11-27,3282.29,,0.0146,,Citadel Bank,Central,,,,,,,,,,,,,,,,,,,,,,,PROD00232
Certificate Of Deposit,CD9344093758,2018-04-15,5238.04,2020-04-14,0.0164,5411.26,First National Bank,Westside,,,,,,,,,,,,,,,,,,,,,,,PROD00233
Certificate Of Deposit,CD0292483780,2018-06-28,59180.2,2021-06-27,0.0544,69373.34,Pioneer Bank,North Branch,,,,,,,,,,,,,,,,,,,,,,,PROD00234
Small Business Account,,,,,,,,,,,,,,,,,,,,,Hernandez Inc,Landscape,BUS52116864,85.0,"1956 Walnut St, El Paso, CA",2020.0,2022.0,1069305.68,612242.53,457063.15,PROD00235
Small Business Account,,,,,,,,,,,,,,,,,,,,,Hernandez Inc,Landscape,BUS52116864,85.0,"1956 Walnut St, El Paso, CA",2020.0,2023.0,4170157.68,2127200.42,2042957.26,PROD00236
Small Business Account,,,,,,,,,,,,,,,,,,,,,Hernandez Inc,Landscape,BUS52116864,85.0,"1956 Walnut St, El Paso, CA",2020.0,2024.0,234858.77,178039.14,56819.63,PROD00237
Savings Account,SAV6050219550,2021-02-20,36398.72,,0.0412,,United Trust Bank,Uptown,,,,,,,,,,,,,,,,,,,,,,,PROD00238
Savings Account,SAV8678162734,2018-04-01,3442.14,,0.0195,,United Trust Bank,Uptown,,,,,,,,,,,,,,,,,,,,,,,PROD00239
Credit Card,,,,,,,,,,,,,,,,2854104607514168.0,13454.53,20000.0,Mastercard,2020-03-08,,,,,,,,,,,PROD00240
Small Business Account,,,,,,,,,,,,,,,,,,,,,White LLC,IT Services,BUS49473898,148.0,"1700 Broadway, Phoenix, TX",2020.0,2022.0,3833977.27,3487149.59,346827.68,PROD00241
Small Business Account,,,,,,,,,,,,,,,,,,,,,White LLC,IT Services,BUS49473898,148.0,"1700 Broadway, Phoenix, TX",2020.0,2023.0,437411.55,336470.77,100940.78,PROD00242
Small Business Account,,,,,,,,,,,,,,,,,,,,,White LLC,IT Services,BUS49473898,148.0,"1700 Broadway, Phoenix, TX",2020.0,2024.0,2727780.49,1680346.17,1047434.32,PROD00243
Home Loan Account,,,,,,,,,LN705532841452,559299.65,25.0,0.0506,554712.65,2107.78,2020-04-14,,,,,,,,,,,,,,,,PROD00244
Small Business Account,,,,,,,,,,,,,,,,,,,,,Scott Enterprise,Dentist,BUS95731812,201.0,"2750 Pine St, San Antonio, IN",2015.0,2022.0,3934683.99,3385339.86,549344.13,PROD00245
Small Business Account,,,,,,,,,,,,,,,,,,,,,Scott Enterprise,Dentist,BUS95731812,201.0,"2750 Pine St, San Antonio, IN",2015.0,2023.0,3077846.33,2487066.04,590780.29,PROD00246
Small Business Account,,,,,,,,,,,,,,,,,,,,,Scott Enterprise,Dentist,BUS95731812,201.0,"2750 Pine St, San Antonio, IN",2015.0,2024.0,279222.93,188502.47,90720.46,PROD00247
Credit Card,,,,,,,,,,,,,,,,8460236794629071.0,7415.53,2000.0,Visa,2021-01-08,,,,,,,,,,,PROD00248
Small Business Account,,,,,,,,,,,,,,,,,,,,,Allen Inc,Construction,BUS10201973,102.0,"6742 Third St, San Antonio, IN",1990.0,2022.0,3689889.19,1958879.99,1731009.2,PROD00249
Small Business Account,,,,,,,,,,,,,,,,,,,,,Allen Inc,Construction,BUS10201973,102.0,"6742 Third St, San Antonio, IN",1990.0,2023.0,469025.97,294558.72,174467.25,PROD00250
Small Business Account,,,,,,,,,,,,,,,,,,,,,Allen Inc,Construction,BUS10201973,102.0,"6742 Third St, San Antonio, IN",1990.0,2024.0,4152228.72,3785811.3,366417.42,PROD00251
Certificate Of Deposit,CD9524102989,2016-03-15,61029.98,2018-03-15,0.0157,62961.36,MetroBank,Westside,,,,,,,,,,,,,,,,,,,,,,,PROD00252
Savings Account,SAV7243423768,2024-05-02,1367.53,,0.0067,,Community Savings,South Branch,,,,,,,,,,,,,,,,,,,,,,,PROD00253
Checking Account,CHK6962395082,2010-01-31,5983.96,,0.0225,,First National Bank,Eastside,,,,,,,,,,,,,,,,,,,,,,,PROD00254
Small Business Account,,,,,,,,,,,,,,,,,,,,,Lee Co,Pediatrician,BUS82969417,224.0,"4448 Washington St, San Diego, TX",2005.0,2022.0,4184946.86,2762953.47,1421993.39,PROD00255
Small Business Account,,,,,,,,,,,,,,,,,,,,,Lee Co,Pediatrician,BUS82969417,224.0,"4448 Washington St, San Diego, TX",2005.0,2023.0,3899113.63,2159895.75,1739217.88,PROD00256
Small Business Account,,,,,,,,,,,,,,,,,,,,,Lee Co,Pediatrician,BUS82969417,224.0,"4448 Washington St, San Diego, TX",2005.0,2024.0,410868.11,382148.78,28719.33,PROD00257
Checking Account,CHK4649884992,2012-12-24,11252.54,,0.0038,,First National Bank,South Branch,,,,,,,,,,,,,,,,,,,,,,,PROD00258
Small Business Account,,,,,,,,,,,,,,,,,,,,,Ramirez Enterprise,IT Services,BUS03874153,3.0,"293 Washington St, Fort Worth, CO",1996.0,2022.0,1640672.28,1272751.76,367920.52,PROD00259
Small Business Account,,,,,,,,,,,,,,,,,,,,,Ramirez Enterprise,IT Services,BUS03874153,3.0,"293 Washington St, Fort Worth, CO",1996.0,2023.0,1313309.83,980850.08,332459.75,PROD00260
Small Business Account,,,,,,,,,,,,,,,,,,,,,Ramirez Enterprise,IT Services,BUS03874153,3.0,"293 Washington St, Fort Worth, CO",1996.0,2024.0,1200952.98,855205.12,345747.86,PROD00261
Certificate Of Deposit,CD8211520224,2014-09-21,70370.55,2019-09-20,0.0255,79812.2,Pioneer Bank,Eastside,,,,,,,,,,,,,,,,,,,,,,,PROD00262
Savings Account,SAV1918149857,2022-08-13,24331.01,,0.0133,,Pioneer Bank,Uptown,,,,,,,,,,,,,,,,,,,,,,,PROD00263
Checking Account,CHK2280723583,2017-03-27,1818.56,,0.026,,United Trust Bank,Downtown,,,,,,,,,,,,,,,,,,,,,,,PROD00264
Credit Card,,,,,,,,,,,,,,,,9235740649869464.0,13606.1,2000.0,Visa,2021-12-15,,,,,,,,,,,PROD00265
Home Loan Account,,,,,,,,,LN367638797541,861501.25,20.0,0.0564,570333.25,4714.1,2025-11-10,,,,,,,,,,,,,,,,PROD00266
Certificate Of Deposit,CD9407591609,2014-09-22,40307.51,2016-09-21,0.0103,41142.12,Liberty Bank,Downtown,,,,,,,,,,,,,,,,,,,,,,,PROD00267
Savings Account,SAV2618068349,2017-02-15,46742.88,,0.0279,,United Trust Bank,North Branch,,,,,,,,,,,,,,,,,,,,,,,PROD00268
Home Loan Account,,,,,,,,,LN547846594203,441593.62,20.0,0.0352,40.78,4113.82,2019-07-13,,,,,,,,,,,,,,,,PROD00269
Credit Card,,,,,,,,,,,,,,,,9404220345317332.0,6333.59,3000.0,Mastercard,2025-07-07,,,,,,,,,,,PROD00270
Home Loan Account,,,,,,,,,LN210114474319,71024.34,15.0,0.0341,8880.83,2304.4,2018-02-03,,,,,,,,,,,,,,,,PROD00271
Savings Account,SAV2474360071,2010-12-24,38782.65,,0.0045,,First National Bank,Eastside,,,,,,,,,,,,,,,,,,,,,,,PROD00272
Savings Account,SAV8172747047,2016-09-09,33300.39,,0.0112,,Citadel Bank,Eastside,,,,,,,,,,,,,,,,,,,,,,,PROD00273
Certificate Of Deposit,CD7514230692,2016-12-31,16702.53,2019-12-31,0.0451,19065.83,Pioneer Bank,North Branch,,,,,,,,,,,,,,,,,,,,,,,PROD00274
Checking Account,CHK5329566172,2019-03-19,1371.02,,0.0186,,Citadel Bank,Westside,,,,,,,,,,,,,,,,,,,,,,,PROD00275
Savings Account,SAV0315143563,2025-01-01,21935.94,,0.0105,,Citadel Bank,North Branch,,,,,,,,,,,,,,,,,,,,,,,PROD00276
